"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Mason County, WV"	"54053"	561	130044	431.4	293.7
	"Mercer County, WV"	"54055"	1388	288786	480.6	329.9
	"Mineral County, WV"	"54057"	492	132519	371.3	240.8
	"Mingo County, WV"	"54059"	683	117067	583.4	433.4
	"Monongalia County, WV"	"54061"	1043	520513	200.4	217.4
	"Monroe County, WV"	"54063"	215	64767	332.0	193.3
	"Morgan County, WV"	"54065"	312	86868	359.2	223.0
	"Nicholas County, WV"	"54067"	545	121414	448.9	288.4
	"Ohio County, WV"	"54069"	861	201816	426.6	290.7
	"Pendleton County, WV"	"54071"	129	33472	385.4	195.3
	"Pleasants County, WV"	"54073"	139	36795	377.8	258.1
	"Pocahontas County, WV"	"54075"	147	40728	360.9	205.6
	"Preston County, WV"	"54077"	621	164701	377.0	263.1
	"Putnam County, WV"	"54079"	964	278431	346.2	251.7
	"Raleigh County, WV"	"54081"	1782	363206	490.6	346.4
	"Randolph County, WV"	"54083"	604	140064	431.2	282.8
	"Ritchie County, WV"	"54085"	207	47263	438.0	279.3
	"Roane County, WV"	"54087"	347	67773	512.0	335.2
	"Summers County, WV"	"54089"	331	61732	536.2	316.9
	"Taylor County, WV"	"54091"	315	82044	383.9	269.1
	"Tucker County, WV"	"54093"	161	33500	480.6	275.3
	"Tyler County, WV"	"54095"	160	42477	376.7	238.1
	"Upshur County, WV"	"54097"	445	119399	372.7	256.9
	"Wayne County, WV"	"54099"	739	194303	380.3	255.0
	"Webster County, WV"	"54101"	200	40444	494.5	307.2
	"Wetzel County, WV"	"54103"	344	74326	462.8	286.1
	"Wirt County, WV"	"54105"	111	28499	389.5	259.1
	"Wood County, WV"	"54107"	1765	411935	428.5	294.5
	"Wyoming County, WV"	"54109"	584	102327	570.7	392.8
	"Adams County, WI"	"55001"	424	98560	430.2	230.7
	"Ashland County, WI"	"55003"	251	76034	330.1	236.9
	"Barron County, WI"	"55005"	659	219893	299.7	197.8
	"Bayfield County, WI"	"55007"	227	73276	309.8	165.5
	"Brown County, WI"	"55009"	2731	1291032	211.5	189.8
	"Buffalo County, WI"	"55011"	167	63672	262.3	162.5
	"Burnett County, WI"	"55013"	274	74638	367.1	201.4
	"Calumet County, WI"	"55015"	418	245868	170.0	151.0
	"Chippewa County, WI"	"55017"	785	313746	250.2	192.9
	"Clark County, WI"	"55019"	428	169093	253.1	202.7
	"Columbia County, WI"	"55021"	661	280800	235.4	179.2
	"Crawford County, WI"	"55023"	251	78677	319.0	204.4
	"Dane County, WI"	"55025"	3747	2663274	140.7	139.7
	"Dodge County, WI"	"55027"	1151	427886	269.0	204.9
	"Door County, WI"	"55029"	405	133708	302.9	153.0
	"Douglas County, WI"	"55031"	596	212058	281.1	209.4
	"Dunn County, WI"	"55033"	443	220402	201.0	180.5
	"Eau Claire County, WI"	"55035"	1022	510622	200.1	178.8
	"Florence County, WI"	"55037"	76	21163	359.1	175.9
	"Fond du Lac County, WI"	"55039"	1178	500619	235.3	175.2
	"Forest County, WI"	"55041"	165	43830	376.5	233.4
	"Grant County, WI"	"55043"	621	251612	246.8	194.9
	"Green County, WI"	"55045"	411	179681	228.7	171.2
	"Green Lake County, WI"	"55047"	298	91658	325.1	213.6
	"Iowa County, WI"	"55049"	278	115914	239.8	173.7
	"Iron County, WI"	"55051"	95	27131	350.2	173.2
	"Jackson County, WI"	"55053"	297	100608	295.2	209.7
	"Jefferson County, WI"	"55055"	956	416353	229.6	180.1
	"Juneau County, WI"	"55057"	417	129997	320.8	210.2
	"Kenosha County, WI"	"55059"	2063	830193	248.5	225.8
